[2024-10-04T23:17:49.543+0000] {logging_mixin.py:190} INFO - R$ 3.181,81
[2024-10-04T23:17:49.543+0000] {logging_mixin.py:190} INFO - R$ 1.324,97
[2024-10-04T23:17:49.544+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:17:49.545+0000] {logging_mixin.py:190} INFO - R$ 3.504,85
[2024-10-04T23:17:49.545+0000] {logging_mixin.py:190} INFO - R$ 567,54
[2024-10-04T23:17:49.546+0000] {logging_mixin.py:190} INFO - R$ 1.416,37
[2024-10-04T23:17:49.547+0000] {logging_mixin.py:190} INFO - R$ 1.935,00
[2024-10-04T23:17:49.547+0000] {logging_mixin.py:190} INFO - R$ 199,41
[2024-10-04T23:17:49.548+0000] {logging_mixin.py:190} INFO - R$ 448,00
[2024-10-04T23:17:49.548+0000] {logging_mixin.py:190} INFO - R$ 532,93
[2024-10-04T23:17:49.549+0000] {logging_mixin.py:190} INFO - R$ 1.129,00
[2024-10-04T23:17:49.550+0000] {logging_mixin.py:190} INFO - R$ 5.795,01
[2024-10-04T23:17:49.550+0000] {logging_mixin.py:190} INFO - R$ 986,91
[2024-10-04T23:17:49.551+0000] {logging_mixin.py:190} INFO - R$ 2.140,00
[2024-10-04T23:17:49.551+0000] {logging_mixin.py:190} INFO - R$ 980,35
[2024-10-04T23:17:49.552+0000] {logging_mixin.py:190} INFO - R$ 1.676,87
[2024-10-04T23:17:49.552+0000] {logging_mixin.py:190} INFO - R$ 695,21
[2024-10-04T23:17:49.553+0000] {logging_mixin.py:190} INFO - R$ 1.854,88
[2024-10-04T23:17:49.553+0000] {logging_mixin.py:190} INFO - R$ 1.689,09
[2024-10-04T23:17:49.554+0000] {logging_mixin.py:190} INFO - R$ 2.900,00
[2024-10-04T23:17:49.554+0000] {logging_mixin.py:190} INFO - R$ 196,94
[2024-10-04T23:17:49.555+0000] {logging_mixin.py:190} INFO - R$ 1.849,83
[2024-10-04T23:17:49.556+0000] {logging_mixin.py:190} INFO - R$ 586,50
[2024-10-04T23:17:49.556+0000] {logging_mixin.py:190} INFO - R$ 2.339,91
[2024-10-04T23:17:49.557+0000] {logging_mixin.py:190} INFO - R$ 932,39
[2024-10-04T23:17:49.557+0000] {logging_mixin.py:190} INFO - R$ 389,90
[2024-10-04T23:17:49.558+0000] {logging_mixin.py:190} INFO - R$ 217,18
[2024-10-04T23:17:49.558+0000] {logging_mixin.py:190} INFO - R$ 379,00
[2024-10-04T23:17:49.559+0000] {logging_mixin.py:190} INFO - R$ 1.158,93
[2024-10-04T23:17:49.559+0000] {logging_mixin.py:190} INFO - R$ 1.470,21
[2024-10-04T23:17:49.560+0000] {logging_mixin.py:190} INFO - R$ 298,00
