[2024-10-04T23:57:50.733+0000] {logging_mixin.py:190} INFO - R$ 668,90
[2024-10-04T23:57:50.734+0000] {logging_mixin.py:190} INFO - R$ 490,74
[2024-10-04T23:57:50.735+0000] {logging_mixin.py:190} INFO - R$ 604,99
[2024-10-04T23:57:50.735+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:57:50.736+0000] {logging_mixin.py:190} INFO - R$ 2.899,99
[2024-10-04T23:57:50.737+0000] {logging_mixin.py:190} INFO - R$ 1.999,99
[2024-10-04T23:57:50.737+0000] {logging_mixin.py:190} INFO - R$ 240,31
[2024-10-04T23:57:50.738+0000] {logging_mixin.py:190} INFO - R$ 1.948,53
[2024-10-04T23:57:50.739+0000] {logging_mixin.py:190} INFO - R$ 625,01
[2024-10-04T23:57:50.739+0000] {logging_mixin.py:190} INFO - R$ 707,89
[2024-10-04T23:57:50.740+0000] {logging_mixin.py:190} INFO - R$ 834,00
[2024-10-04T23:57:50.740+0000] {logging_mixin.py:190} INFO - R$ 353,35
[2024-10-04T23:57:50.741+0000] {logging_mixin.py:190} INFO - R$ 480,00
[2024-10-04T23:57:50.742+0000] {logging_mixin.py:190} INFO - R$ 2.830,87
[2024-10-04T23:57:50.742+0000] {logging_mixin.py:190} INFO - R$ 2.341,33
[2024-10-04T23:57:50.743+0000] {logging_mixin.py:190} INFO - R$ 2.629,99
[2024-10-04T23:57:50.743+0000] {logging_mixin.py:190} INFO - R$ 3.125,36
[2024-10-04T23:57:50.744+0000] {logging_mixin.py:190} INFO - R$ 3.989,99
[2024-10-04T23:57:50.744+0000] {logging_mixin.py:190} INFO - R$ 11.194,99
[2024-10-04T23:57:50.745+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:57:50.746+0000] {logging_mixin.py:190} INFO - R$ 1.929,99
[2024-10-04T23:57:50.747+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:57:50.748+0000] {logging_mixin.py:190} INFO - R$ 757,20
[2024-10-04T23:57:50.749+0000] {logging_mixin.py:190} INFO - R$ 359,85
[2024-10-04T23:57:50.749+0000] {logging_mixin.py:190} INFO - R$ 1.565,95
[2024-10-04T23:57:50.750+0000] {logging_mixin.py:190} INFO - R$ 1.601,55
[2024-10-04T23:57:50.751+0000] {logging_mixin.py:190} INFO - R$ 1.809,90
[2024-10-04T23:57:50.752+0000] {logging_mixin.py:190} INFO - R$ 398,65
[2024-10-04T23:57:50.752+0000] {logging_mixin.py:190} INFO - R$ 1.231,19
[2024-10-04T23:57:50.753+0000] {logging_mixin.py:190} INFO - R$ 2.626,27
[2024-10-04T23:57:50.753+0000] {logging_mixin.py:190} INFO - R$ 673,89
[2024-10-04T23:57:50.754+0000] {logging_mixin.py:190} INFO - R$ 339,00
[2024-10-04T23:57:50.754+0000] {logging_mixin.py:190} INFO - R$ 1.146,59
[2024-10-04T23:57:50.755+0000] {logging_mixin.py:190} INFO - R$ 284,24
[2024-10-04T23:57:50.755+0000] {logging_mixin.py:190} INFO - R$ 1.844,00
[2024-10-04T23:57:50.756+0000] {logging_mixin.py:190} INFO - R$ 2.379,99
[2024-10-04T23:57:50.756+0000] {logging_mixin.py:190} INFO - R$ 1.804,99
[2024-10-04T23:57:50.757+0000] {logging_mixin.py:190} INFO - R$ 3.904,63
[2024-10-04T23:57:50.758+0000] {logging_mixin.py:190} INFO - R$ 495,99
[2024-10-04T23:57:50.758+0000] {logging_mixin.py:190} INFO - R$ 319,00
[2024-10-04T23:57:50.759+0000] {logging_mixin.py:190} INFO - R$ 1.899,99
[2024-10-04T23:57:50.759+0000] {logging_mixin.py:190} INFO - R$ 1.085,71
[2024-10-04T23:57:50.760+0000] {logging_mixin.py:190} INFO - R$ 1.359,99
[2024-10-04T23:57:50.760+0000] {logging_mixin.py:190} INFO - R$ 1.659,59
[2024-10-04T23:57:50.761+0000] {logging_mixin.py:190} INFO - R$ 459,40
[2024-10-04T23:57:50.761+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:57:50.762+0000] {logging_mixin.py:190} INFO - R$ 2.984,41
[2024-10-04T23:57:50.763+0000] {logging_mixin.py:190} INFO - R$ 3.079,99
[2024-10-04T23:57:50.763+0000] {logging_mixin.py:190} INFO - R$ 589,90
[2024-10-04T23:57:50.764+0000] {logging_mixin.py:190} INFO - R$ 3.181,81
[2024-10-04T23:57:50.765+0000] {logging_mixin.py:190} INFO - R$ 1.324,97
[2024-10-04T23:57:50.765+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:57:50.766+0000] {logging_mixin.py:190} INFO - R$ 3.504,85
[2024-10-04T23:57:50.766+0000] {logging_mixin.py:190} INFO - R$ 567,54
[2024-10-04T23:57:50.767+0000] {logging_mixin.py:190} INFO - R$ 1.416,37
[2024-10-04T23:57:50.768+0000] {logging_mixin.py:190} INFO - R$ 1.935,00
[2024-10-04T23:57:50.768+0000] {logging_mixin.py:190} INFO - R$ 199,41
[2024-10-04T23:57:50.769+0000] {logging_mixin.py:190} INFO - R$ 448,00
[2024-10-04T23:57:50.769+0000] {logging_mixin.py:190} INFO - R$ 532,93
[2024-10-04T23:57:50.770+0000] {logging_mixin.py:190} INFO - R$ 1.129,00
[2024-10-04T23:57:50.771+0000] {logging_mixin.py:190} INFO - R$ 5.795,01
[2024-10-04T23:57:50.771+0000] {logging_mixin.py:190} INFO - R$ 986,91
[2024-10-04T23:57:50.772+0000] {logging_mixin.py:190} INFO - R$ 2.140,00
[2024-10-04T23:57:50.772+0000] {logging_mixin.py:190} INFO - R$ 980,35
[2024-10-04T23:57:50.773+0000] {logging_mixin.py:190} INFO - R$ 1.676,87
[2024-10-04T23:57:50.773+0000] {logging_mixin.py:190} INFO - R$ 695,21
[2024-10-04T23:57:50.774+0000] {logging_mixin.py:190} INFO - R$ 1.854,88
[2024-10-04T23:57:50.774+0000] {logging_mixin.py:190} INFO - R$ 1.689,09
[2024-10-04T23:57:50.775+0000] {logging_mixin.py:190} INFO - R$ 2.900,00
[2024-10-04T23:57:50.775+0000] {logging_mixin.py:190} INFO - R$ 196,94
[2024-10-04T23:57:50.776+0000] {logging_mixin.py:190} INFO - R$ 1.849,83
[2024-10-04T23:57:50.776+0000] {logging_mixin.py:190} INFO - R$ 586,50
[2024-10-04T23:57:50.777+0000] {logging_mixin.py:190} INFO - R$ 2.339,91
[2024-10-04T23:57:50.777+0000] {logging_mixin.py:190} INFO - R$ 932,39
[2024-10-04T23:57:50.778+0000] {logging_mixin.py:190} INFO - R$ 389,90
[2024-10-04T23:57:50.779+0000] {logging_mixin.py:190} INFO - R$ 217,18
[2024-10-04T23:57:50.780+0000] {logging_mixin.py:190} INFO - R$ 379,00
[2024-10-04T23:57:50.780+0000] {logging_mixin.py:190} INFO - R$ 1.158,93
[2024-10-04T23:57:50.781+0000] {logging_mixin.py:190} INFO - R$ 1.470,21
